id,cluster,titulo_provisorio,subtitulo_ou_promessa,dor_principal,solucao_clara,publico_alvo,evidencias,palavras_chave,score_demanda,score_clareza,score_diferenciacao,score_execucao,score_total,status,proximo_passo,notas
T01,indisciplina,Indisciplina na Sala de Aula: Como Recuperar o Controle sem Gritar,"Estratégias diretas para retomar autoridade, reduzir desgaste e conduzir a turma com mais firmeza.","Perda de controle, exaustao emocional e conflito frequente em sala.","Recuperar autoridade com procedimentos, limites e linguagem pratica.",professores da educacao basica,"Trends: indisciplina e controle de sala; YouTube: scripts, protocolos e limites; oferta: Hotmart, Clube de Autores e cursos com promessa de controle.","indisciplina, controle, autoridade, sala de aula, limites",5,5,4,5,4.8,prioritario,Escrever outline e validar subtitulo.,Melhor candidato para capa de dor forte e promessa imediata.
T02,rotina,Gestão de sala de aula sem caos: 40 protocolos práticos para reduzir a indisciplina no dia a dia,"Rotina, regras e intervenções para professores que precisam de método prático e objetivo.","Falta de previsibilidade, bagunça cotidiana e desgaste com improviso.","Criar rotina, contrato e protocolos simples para conduzir a turma com firmeza.",professores que querem mais organização,"Trends: gestao de sala, rotina e disciplina escolar; YouTube: planejamento, quick wins e automacao; oferta: Nova Escola e Hotmart.","gestão de sala, indisciplina, protocolos, rotina, controle",5,5,4,4,4.5,prioritario,Fechar promessa principal e mapa de capitulos.,Título final escolhido para o ebook; muito forte para professor sobrecarregado que busca ordem prática.
T03,tempo_planejamento,Planejamento de Aula em 30 Minutos: O Guia Pratico para Quem Nao Tem Tempo,"Como planejar com rapidez sem perder clareza, intencao pedagógica e segurança para entrar em sala.",Falta de tempo para planejar e sensação de estar sempre atrasado.,Usar um modelo enxuto de planejamento com passos repetiveis.,professores sem tempo para preparar aulas,"YouTube: dor de tempo, quick wins e eficiencia; Trends: planejamento e organizacao; oferta: materiais com promessa de praticidade.","planejamento, 30 minutos, aula, rapidez, praticidade",4,5,4,5,4.5,prioritario,Testar subtitulo e sumario de 5 blocos.,"Excelente para um ebook curto, vendavel e muito util."
T05,scripts,"Scripts Prontos para Conversas Dificeis com Alunos, Familias e Coordenação","Modelos de fala, mensagens e protocolos para nao travar na hora do conflito.",Dificuldade de conversar em situacoes tensas sem escalar o problema.,Oferecer scripts e respostas prontas para dialogos sensiveis.,professores e coordenadores,YouTube: scripts e conversas dificeis; Trends: comunicacao e conflito; oferta: materiais prontos e exemplos de fala.,"scripts, conversas dificeis, familia, coordenação, dialogo",4,5,4,4,4.2,prioritario,Escrever blocos por situacao real.,Bom apelo comercial porque entrega uma utilidade tangivel.
T04,inicio_carreira,Professor Iniciante: Como Sobreviver aos Primeiros 90 Dias na Escola,"Um mapa pratico para começar com menos culpa, mais organização e decisões mais seguras.","Inseguranca, choque com a realidade e sobrecarga no comeco da carreira.",Organizar os primeiros passos e reduzir erros comuns de iniciante.,professores iniciantes e licenciandos,Trends: inicio de carreira e sobrecarga; YouTube: primeiros 90 dias e sobrevivencia; oferta: cursos e guias para professor iniciante.,"professor iniciante, primeiros 90 dias, sobrevivencia, escola",4,4,4,4,4,prioritario,Estruturar por semanas ou fases.,Recorte de mercado muito promissor se a copy ficar concreta.
T06,protocolos,"Protocolo da Sala de Aula: Celular, Limites e Conflitos na Pratica",Como criar regras claras e responder a conflitos sem depender da improvisacao do dia.,"Falta de protocolo claro para celular, limites e incidentes recorrentes.",Criar um conjunto de procedimentos que guiem a resposta do professor.,professores que querem respostas objetivas,"YouTube: protocol, celular e limites; Trends: disciplina escolar; oferta: cursos com regras e procedimentos.","protocolo, celular, limites, conflitos, sala de aula",4,4,4,4,4,prioritario,Definir situacoes e respostas-padrao.,Forte quando a escola vive conflitos com tecnologia e convivencia.
T07,disciplina,Disciplina Escolar na Pratica: Regras Claras e Intervencoes Simples,Um guia direto para lidar com comportamento e manter a turma andando sem drama.,Comportamento dificil e dificuldade de sustentar limites consistentes.,"Regras simples, intervenções objetivas e rotina de resposta.",professores e orientadores,"Trends: disciplina escolar e indisciplina; oferta: Educamundo, ProfessorIdeal e Hotmart; YouTube: fala direta sobre comportamento.","disciplina escolar, regras, intervencoes, comportamento",4,4,3,4,3.8,backlog,Comparar com os outros titulos de disciplina.,"Boa base de nicho, mas menos afiado do que indisciplina/controle."
T10,familia_escola,Pais Dificeis e a Escola Real: Como Lidar com Interferencias sem Escalar o Conflito,"Ferramentas para conversar com familias, manter limites e proteger a energia da escola.","Interferencias de familia, ruído na comunicação e conflito com a escola.","Estruturar respostas, limites e canais de conversa.","professores, coordenação e gestão",YouTube: familia-escola e conversas dificeis; Trends: comunicacao e convivencia; oferta: guias de mediação e relacionamento.,"pais dificies, familia, escola, interferencia, conflito",4,4,3,4,3.8,backlog,Comparar com scripts e protocolos antes de priorizar.,"Tema muito relevante, mas pode entrar como eixo secundario do livro principal."
T08,rotina,Rotina que Funciona na Sala de Aula: Como Organizar a Turma com Leveza,Passos práticos para dar previsibilidade ao dia sem transformar a sala em um ambiente rigido.,Caos operacional e desgaste por falta de sequencia clara.,"Estruturar rotina com previsibilidade, fluidez e combinados simples.",professores que buscam mais leveza,"Trends: rotina e gestao de sala; YouTube: tempo, previsibilidade e quick wins; oferta: materiais práticos com rotina.","rotina, organizacao, turma, previsibilidade, leveza",4,4,3,4,3.8,backlog,Reforcar a promessa com um mecanismo unico.,Pode funcionar melhor como subtitulo de um livro maior.
T09,neurodivergencia,TDAH em Sala de Aula: Como Adaptar Sem Perder a Rotina da Turma,Adaptações praticas para incluir sem desmontar o andamento da sala.,Dificuldade de atender necessidades individuais sem perder o controle coletivo.,Adaptar a condução da turma com apoio de rotina e combinados inclusivos.,professores que atendem estudantes com TDAH,YouTube: neurodivergencia e TDAH; demanda latente em comentarios; oferta: materiais de adaptacao e inclusão.,"TDAH, inclusao, adaptação, rotina, turma",3,4,3,3,3.2,backlog,Validar se entra melhor como capitulo ou livro isolado.,"Bom tema, mas exige cuidado para nao prometer demais."
